"from","to","anchor","context"
"/health/gastroesophageal-reflux-disease","/health/guides/family-medication-support","가족 건강","navigation"
"/health/gastroesophageal-reflux-disease","/health","건강 도구","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/about","오누림 소개","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/gastroesophageal-reflux-disease","/health/gastroesophageal-reflux-disease","응급 신호와 119 안내 바로 보기","content"
"/health/gastroesophageal-reflux-disease","/health/tools/gerd-symptom-timing-log","역류 증상·시간 기록표식사·자세·수면과 불편의 흐름을 적는 관찰표입니다.","content"
"/health/gastroesophageal-reflux-disease","/health/tools/gerd-everyday-patterns","일상 패턴 관찰 체크음식 금지표가 아니라 개인의 흐름을 기록하는 체크리스트입니다.","content"
"/health/gastroesophageal-reflux-disease","/health/tools/gerd-appointment-prep","위식도역류 진료 준비 카드증상·약·검사 필요 여부를 묻기 위한 질문 카드입니다.","content"
"/health/gastroesophageal-reflux-disease","/health","20개 질환 안내","navigation"
"/health/gastroesophageal-reflux-disease","/health/guides/danger-signals","위험 신호","navigation"
"/health/gastroesophageal-reflux-disease","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/gastroesophageal-reflux-disease","/health","건강 기록 도구","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/author","작성자","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/sources-policy","출처 원칙","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/corrections-policy","정정·문의","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/advertising","광고 정책","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/disclaimer","면책 안내","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/privacy","개인정보","navigation"
"/health/gastroesophageal-reflux-disease","/health/trust/terms","이용약관","navigation"
"/health/gout","/health/gout","본문으로 건너뛰기","content"
"/health/gout","/","OONURIM오누림","navigation"
"/health/gout","/health","질환 알아보기","navigation"
"/health/gout","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/gout","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/gout","/health/guides/family-medication-support","가족 건강","navigation"
"/health/gout","/health","건강 도구","navigation"
"/health/gout","/health/trust/about","오누림 소개","navigation"
"/health/gout","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/gout","/health/gout","응급 신호와 119 안내 바로 보기","content"
"/health/gout","/health/tools/gout-visit-card","통풍 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/health/gout","/health","20개 질환 안내","navigation"
"/health/gout","/health/guides/danger-signals","위험 신호","navigation"
"/health/gout","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/gout","/health","건강 기록 도구","navigation"
"/health/gout","/health/trust/author","작성자","navigation"
"/health/gout","/health/trust/sources-policy","출처 원칙","navigation"
"/health/gout","/health/trust/corrections-policy","정정·문의","navigation"
"/health/gout","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/gout","/health/trust/advertising","광고 정책","navigation"
"/health/gout","/health/trust/disclaimer","면책 안내","navigation"
"/health/gout","/health/trust/privacy","개인정보","navigation"
"/health/gout","/health/trust/terms","이용약관","navigation"
"/health/guides/appointment-questions","/health/guides/appointment-questions","본문으로 건너뛰기","content"
"/health/guides/appointment-questions","/","OONURIM오누림","navigation"
"/health/guides/appointment-questions","/health","질환 알아보기","navigation"
"/health/guides/appointment-questions","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/appointment-questions","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/appointment-questions","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/appointment-questions","/health","건강 도구","navigation"
"/health/guides/appointment-questions","/health/trust/about","오누림 소개","navigation"
"/health/guides/appointment-questions","/health","20개 질환 안내","navigation"
"/health/guides/appointment-questions","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/appointment-questions","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/appointment-questions","/health","건강 기록 도구","navigation"
"/health/guides/appointment-questions","/health/trust/author","작성자","navigation"
"/health/guides/appointment-questions","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/appointment-questions","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/appointment-questions","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/appointment-questions","/health/trust/advertising","광고 정책","navigation"
"/health/guides/appointment-questions","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/appointment-questions","/health/trust/privacy","개인정보","navigation"
"/health/guides/appointment-questions","/health/trust/terms","이용약관","navigation"
"/health/guides/danger-signals","/health/guides/danger-signals","본문으로 건너뛰기","content"
"/health/guides/danger-signals","/","OONURIM오누림","navigation"
"/health/guides/danger-signals","/health","질환 알아보기","navigation"
"/health/guides/danger-signals","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/danger-signals","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/danger-signals","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/danger-signals","/health","건강 도구","navigation"
"/health/guides/danger-signals","/health/trust/about","오누림 소개","navigation"
"/health/guides/danger-signals","/health","20개 질환 안내","navigation"
"/health/guides/danger-signals","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/danger-signals","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/danger-signals","/health","건강 기록 도구","navigation"
"/health/guides/danger-signals","/health/trust/author","작성자","navigation"
"/health/guides/danger-signals","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/danger-signals","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/danger-signals","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/danger-signals","/health/trust/advertising","광고 정책","navigation"
"/health/guides/danger-signals","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/danger-signals","/health/trust/privacy","개인정보","navigation"
"/health/guides/danger-signals","/health/trust/terms","이용약관","navigation"
"/health/guides/family-medication-support","/health/guides/family-medication-support","본문으로 건너뛰기","content"
"/health/guides/family-medication-support","/","OONURIM오누림","navigation"
"/health/guides/family-medication-support","/health","질환 알아보기","navigation"
"/health/guides/family-medication-support","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/family-medication-support","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/family-medication-support","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/family-medication-support","/health","건강 도구","navigation"
"/health/guides/family-medication-support","/health/trust/about","오누림 소개","navigation"
"/health/guides/family-medication-support","/health","20개 질환 안내","navigation"
"/health/guides/family-medication-support","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/family-medication-support","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/family-medication-support","/health","건강 기록 도구","navigation"
"/health/guides/family-medication-support","/health/trust/author","작성자","navigation"
"/health/guides/family-medication-support","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/family-medication-support","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/family-medication-support","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/family-medication-support","/health/trust/advertising","광고 정책","navigation"
"/health/guides/family-medication-support","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/family-medication-support","/health/trust/privacy","개인정보","navigation"
"/health/guides/family-medication-support","/health/trust/terms","이용약관","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","본문으로 건너뛰기","content"
"/health/guides/measuring-blood-pressure","/","OONURIM오누림","navigation"
"/health/guides/measuring-blood-pressure","/health","질환 알아보기","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/measuring-blood-pressure","/health","건강 도구","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/about","오누림 소개","navigation"
"/health/guides/measuring-blood-pressure","/health","20개 질환 안내","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/measuring-blood-pressure","/health","건강 기록 도구","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/author","작성자","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/advertising","광고 정책","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/privacy","개인정보","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/terms","이용약관","navigation"
"/health/guides/medication-list","/health/guides/medication-list","본문으로 건너뛰기","content"
"/health/guides/medication-list","/","OONURIM오누림","navigation"
"/health/guides/medication-list","/health","질환 알아보기","navigation"
"/health/guides/medication-list","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/medication-list","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/medication-list","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/medication-list","/health","건강 도구","navigation"
"/health/guides/medication-list","/health/trust/about","오누림 소개","navigation"
"/health/guides/medication-list","/health","20개 질환 안내","navigation"
"/health/guides/medication-list","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/medication-list","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/medication-list","/health","건강 기록 도구","navigation"
"/health/guides/medication-list","/health/trust/author","작성자","navigation"
"/health/guides/medication-list","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/medication-list","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/medication-list","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/medication-list","/health/trust/advertising","광고 정책","navigation"
"/health/guides/medication-list","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/medication-list","/health/trust/privacy","개인정보","navigation"
"/health/guides/medication-list","/health/trust/terms","이용약관","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","본문으로 건너뛰기","content"
"/health/guides/older-parent-health-organizer","/","OONURIM오누림","navigation"
"/health/guides/older-parent-health-organizer","/health","질환 알아보기","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/older-parent-health-organizer","/health","건강 도구","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/about","오누림 소개","navigation"
"/health/guides/older-parent-health-organizer","/health","20개 질환 안내","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/older-parent-health-organizer","/health","건강 기록 도구","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/author","작성자","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/advertising","광고 정책","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/privacy","개인정보","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/terms","이용약관","navigation"
"/health/guides/reading-health-results","/health/guides/reading-health-results","본문으로 건너뛰기","content"
"/health/guides/reading-health-results","/","OONURIM오누림","navigation"
"/health/guides/reading-health-results","/health","질환 알아보기","navigation"
"/health/guides/reading-health-results","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/reading-health-results","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/reading-health-results","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/reading-health-results","/health","건강 도구","navigation"
"/health/guides/reading-health-results","/health/trust/about","오누림 소개","navigation"
"/health/guides/reading-health-results","/health","20개 질환 안내","navigation"
"/health/guides/reading-health-results","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/reading-health-results","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/reading-health-results","/health","건강 기록 도구","navigation"
"/health/guides/reading-health-results","/health/trust/author","작성자","navigation"
"/health/guides/reading-health-results","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/reading-health-results","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/reading-health-results","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/reading-health-results","/health/trust/advertising","광고 정책","navigation"
"/health/guides/reading-health-results","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/reading-health-results","/health/trust/privacy","개인정보","navigation"
"/health/guides/reading-health-results","/health/trust/terms","이용약관","navigation"
"/health/guides/symptom-journal","/health/guides/symptom-journal","본문으로 건너뛰기","content"
"/health/guides/symptom-journal","/","OONURIM오누림","navigation"
"/health/guides/symptom-journal","/health","질환 알아보기","navigation"
"/health/guides/symptom-journal","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/symptom-journal","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/symptom-journal","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/symptom-journal","/health","건강 도구","navigation"
"/health/guides/symptom-journal","/health/trust/about","오누림 소개","navigation"
"/health/guides/symptom-journal","/health","20개 질환 안내","navigation"
"/health/guides/symptom-journal","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/symptom-journal","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/symptom-journal","/health","건강 기록 도구","navigation"
"/health/guides/symptom-journal","/health/trust/author","작성자","navigation"
"/health/guides/symptom-journal","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/symptom-journal","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/symptom-journal","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/symptom-journal","/health/trust/advertising","광고 정책","navigation"
"/health/guides/symptom-journal","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/symptom-journal","/health/trust/privacy","개인정보","navigation"
"/health/guides/symptom-journal","/health/trust/terms","이용약관","navigation"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","본문으로 건너뛰기","content"
"/health/guides/understanding-hba1c","/","OONURIM오누림","navigation"
"/health/guides/understanding-hba1c","/health","질환 알아보기","navigation"
"/health/guides/understanding-hba1c","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/understanding-hba1c","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/understanding-hba1c","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/understanding-hba1c","/health","건강 도구","navigation"
"/health/guides/understanding-hba1c","/health/trust/about","오누림 소개","navigation"
"/health/guides/understanding-hba1c","/health","20개 질환 안내","navigation"
"/health/guides/understanding-hba1c","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/understanding-hba1c","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/understanding-hba1c","/health","건강 기록 도구","navigation"
"/health/guides/understanding-hba1c","/health/trust/author","작성자","navigation"
"/health/guides/understanding-hba1c","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/understanding-hba1c","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/understanding-hba1c","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/understanding-hba1c","/health/trust/advertising","광고 정책","navigation"
"/health/guides/understanding-hba1c","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/understanding-hba1c","/health/trust/privacy","개인정보","navigation"
"/health/guides/understanding-hba1c","/health/trust/terms","이용약관","navigation"
"/health/hypertension","/health/hypertension","본문으로 건너뛰기","content"
"/health/hypertension","/","OONURIM오누림","navigation"
"/health/hypertension","/health","질환 알아보기","navigation"
"/health/hypertension","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/hypertension","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/hypertension","/health/guides/family-medication-support","가족 건강","navigation"
"/health/hypertension","/health","건강 도구","navigation"
"/health/hypertension","/health/trust/about","오누림 소개","navigation"
"/health/hypertension","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/hypertension","/health/hypertension","응급 신호와 119 안내 바로 보기","content"
"/health/hypertension","/health/tools/blood-pressure-log","7일 혈압 기록표결론을 계산하지 않고 측정 환경과 원래 값을 함께 남기는 개인 기록지입니다.","content"
"/health/hypertension","/health/tools/blood-pressure-questions","고혈압 진료 질문 카드기록을 진료 대화로 연결하는 질문을 골라 적습니다.","content"
"/health/hypertension","/health/tools/blood-pressure-prep","혈압 측정 준비 체크리스트같은 조건에서 더 안정적으로 측정하기 위한 준비표입니다.","content"
"/health/hypertension","/health/tools/blood-pressure-warning","기록보다 119가 먼저인 경고 카드혈압 숫자를 다시 재며 기다리지 않아야 할 동반 신호를 기억합니다.","content"
"/health/hypertension","/health","20개 질환 안내","navigation"
"/health/hypertension","/health/guides/danger-signals","위험 신호","navigation"
"/health/hypertension","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/hypertension","/health","건강 기록 도구","navigation"
"/health/hypertension","/health/trust/author","작성자","navigation"
"/health/hypertension","/health/trust/sources-policy","출처 원칙","navigation"
"/health/hypertension","/health/trust/corrections-policy","정정·문의","navigation"
"/health/hypertension","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/hypertension","/health/trust/advertising","광고 정책","navigation"
"/health/hypertension","/health/trust/disclaimer","면책 안내","navigation"
"/health/hypertension","/health/trust/privacy","개인정보","navigation"
"/health/hypertension","/health/trust/terms","이용약관","navigation"
"/health/irritable-bowel-syndrome","/health/irritable-bowel-syndrome","본문으로 건너뛰기","content"
"/health/irritable-bowel-syndrome","/","OONURIM오누림","navigation"
"/health/irritable-bowel-syndrome","/health","질환 알아보기","navigation"
"/health/irritable-bowel-syndrome","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/irritable-bowel-syndrome","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/irritable-bowel-syndrome","/health/guides/family-medication-support","가족 건강","navigation"
"/health/irritable-bowel-syndrome","/health","건강 도구","navigation"
"/health/irritable-bowel-syndrome","/health/trust/about","오누림 소개","navigation"
"/health/irritable-bowel-syndrome","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/irritable-bowel-syndrome","/health/irritable-bowel-syndrome","응급 신호와 119 안내 바로 보기","content"
"/health/irritable-bowel-syndrome","/health/tools/irritable-bowel-syndrome-visit-card","과민성장증후군 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/health/irritable-bowel-syndrome","/health","20개 질환 안내","navigation"
"/health/irritable-bowel-syndrome","/health/guides/danger-signals","위험 신호","navigation"
"/health/irritable-bowel-syndrome","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/irritable-bowel-syndrome","/health","건강 기록 도구","navigation"
"/health/irritable-bowel-syndrome","/health/trust/author","작성자","navigation"
"/health/irritable-bowel-syndrome","/health/trust/sources-policy","출처 원칙","navigation"
"/health/irritable-bowel-syndrome","/health/trust/corrections-policy","정정·문의","navigation"
"/health/irritable-bowel-syndrome","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/irritable-bowel-syndrome","/health/trust/advertising","광고 정책","navigation"
"/health/irritable-bowel-syndrome","/health/trust/disclaimer","면책 안내","navigation"
"/health/irritable-bowel-syndrome","/health/trust/privacy","개인정보","navigation"
"/health/irritable-bowel-syndrome","/health/trust/terms","이용약관","navigation"
"/health/kidney-stones","/health/kidney-stones","본문으로 건너뛰기","content"
"/health/kidney-stones","/","OONURIM오누림","navigation"
"/health/kidney-stones","/health","질환 알아보기","navigation"
"/health/kidney-stones","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/kidney-stones","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/kidney-stones","/health/guides/family-medication-support","가족 건강","navigation"
"/health/kidney-stones","/health","건강 도구","navigation"
"/health/kidney-stones","/health/trust/about","오누림 소개","navigation"
"/health/kidney-stones","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/kidney-stones","/health/kidney-stones","응급 신호와 119 안내 바로 보기","content"
"/health/kidney-stones","/health/tools/kidney-stones-visit-card","신장결석 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/health/kidney-stones","/health","20개 질환 안내","navigation"
"/health/kidney-stones","/health/guides/danger-signals","위험 신호","navigation"
"/health/kidney-stones","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/kidney-stones","/health","건강 기록 도구","navigation"
"/health/kidney-stones","/health/trust/author","작성자","navigation"
"/health/kidney-stones","/health/trust/sources-policy","출처 원칙","navigation"
"/health/kidney-stones","/health/trust/corrections-policy","정정·문의","navigation"
"/health/kidney-stones","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/kidney-stones","/health/trust/advertising","광고 정책","navigation"
"/health/kidney-stones","/health/trust/disclaimer","면책 안내","navigation"
"/health/kidney-stones","/health/trust/privacy","개인정보","navigation"
"/health/kidney-stones","/health/trust/terms","이용약관","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/metabolic-dysfunction-associated-steatotic-liver-disease","본문으로 건너뛰기","content"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/","OONURIM오누림","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health","질환 알아보기","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/guides/family-medication-support","가족 건강","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health","건강 도구","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/about","오누림 소개","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/metabolic-dysfunction-associated-steatotic-liver-disease","응급 신호와 119 안내 바로 보기","content"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","지방간(MASLD) 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health","20개 질환 안내","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/guides/danger-signals","위험 신호","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health","건강 기록 도구","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/author","작성자","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/sources-policy","출처 원칙","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/corrections-policy","정정·문의","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/advertising","광고 정책","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/disclaimer","면책 안내","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/privacy","개인정보","navigation"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/trust/terms","이용약관","navigation"
"/health/migraine","/health/migraine","본문으로 건너뛰기","content"
"/health/migraine","/","OONURIM오누림","navigation"
"/health/migraine","/health","질환 알아보기","navigation"
"/health/migraine","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/migraine","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/migraine","/health/guides/family-medication-support","가족 건강","navigation"
"/health/migraine","/health","건강 도구","navigation"
"/health/migraine","/health/trust/about","오누림 소개","navigation"
"/health/migraine","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/migraine","/health/migraine","응급 신호와 119 안내 바로 보기","content"
"/health/migraine","/health/tools/migraine-visit-card","편두통 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/health/migraine","/health","20개 질환 안내","navigation"
"/health/migraine","/health/guides/danger-signals","위험 신호","navigation"
"/health/migraine","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/migraine","/health","건강 기록 도구","navigation"
"/health/migraine","/health/trust/author","작성자","navigation"
"/health/migraine","/health/trust/sources-policy","출처 원칙","navigation"
"/health/migraine","/health/trust/corrections-policy","정정·문의","navigation"
"/health/migraine","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/migraine","/health/trust/advertising","광고 정책","navigation"
"/health/migraine","/health/trust/disclaimer","면책 안내","navigation"
"/health/migraine","/health/trust/privacy","개인정보","navigation"
"/health/migraine","/health/trust/terms","이용약관","navigation"
"/health/obesity","/health/obesity","본문으로 건너뛰기","content"
"/health/obesity","/","OONURIM오누림","navigation"
"/health/obesity","/health","질환 알아보기","navigation"
"/health/obesity","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/obesity","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/obesity","/health/guides/family-medication-support","가족 건강","navigation"
"/health/obesity","/health","건강 도구","navigation"
"/health/obesity","/health/trust/about","오누림 소개","navigation"
"/health/obesity","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/obesity","/health/obesity","응급 신호와 119 안내 바로 보기","content"
"/health/obesity","/health/tools/obesity-visit-card","비만 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/health/obesity","/health","20개 질환 안내","navigation"
"/health/obesity","/health/guides/danger-signals","위험 신호","navigation"
"/health/obesity","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/obesity","/health","건강 기록 도구","navigation"
"/health/obesity","/health/trust/author","작성자","navigation"
"/health/obesity","/health/trust/sources-policy","출처 원칙","navigation"
"/health/obesity","/health/trust/corrections-policy","정정·문의","navigation"
"/health/obesity","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/obesity","/health/trust/advertising","광고 정책","navigation"
"/health/obesity","/health/trust/disclaimer","면책 안내","navigation"
"/health/obesity","/health/trust/privacy","개인정보","navigation"
"/health/obesity","/health/trust/terms","이용약관","navigation"
"/health/osteoarthritis","/health/osteoarthritis","본문으로 건너뛰기","content"
"/health/osteoarthritis","/","OONURIM오누림","navigation"
"/health/osteoarthritis","/health","질환 알아보기","navigation"
