"from","to","anchor","context"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/medication-list","이름·복용 정보·일반약·보충제를 한 목록으로 정리","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","NHS","content"
"/health/guides/family-medication-support","/health/guides/older-parent-health-organizer","부모님과 합의한 정보·연락처·변경사항 정리","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA / Office of Women's Health","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","NHS","content"
"/health/guides/family-medication-support","/health/guides/danger-signals","복약 확인보다 119가 먼저인 다른 위험 신호","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","NHS","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","NHS","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","NHS","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","NHS","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","U.S. FDA / Office of Women's Health","content"
"/health/guides/family-medication-support","/health/guides/family-medication-support","NHS","content"
"/health/guides/family-medication-support","/health/trust/sources-policy","출처 선정 기준","content"
"/health/guides/family-medication-support","/health/trust/editorial-policy","편집 원칙","content"
"/health/guides/family-medication-support","/health/trust/corrections-policy","오류 제보·정정 절차","content"
"/health/guides/family-medication-support","/health","건강 가이드 전체 보기","content"
"/health/guides/family-medication-support","/health","20개 질환 안내","navigation"
"/health/guides/family-medication-support","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/family-medication-support","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/family-medication-support","/health","건강 기록 도구","navigation"
"/health/guides/family-medication-support","/health/trust/author","작성자","navigation"
"/health/guides/family-medication-support","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/family-medication-support","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/family-medication-support","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/family-medication-support","/health/trust/advertising","광고 정책","navigation"
"/health/guides/family-medication-support","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/family-medication-support","/health/trust/privacy","개인정보","navigation"
"/health/guides/family-medication-support","/health/trust/terms","이용약관","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","본문으로 건너뛰기","content"
"/health/guides/measuring-blood-pressure","/","OONURIM오누림","navigation"
"/health/guides/measuring-blood-pressure","/health","질환 알아보기","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/measuring-blood-pressure","/health","건강 도구","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/about","오누림 소개","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/medical-review-policy","면허 의료인 검수 미완료","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/danger-signals","측정·기록보다 도움 요청이 먼저인 다른 위험 신호","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","NIH/NHLBI","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","NHS","content"
"/health/guides/measuring-blood-pressure","/health/tools/blood-pressure-prep","기기와 함께 확인할 가정혈압 측정 준비표","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","NHS","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","NHS","content"
"/health/guides/measuring-blood-pressure","/health/tools/blood-pressure-log","측정값과 상황을 함께 적을 혈압 기록표","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","NHS","content"
"/health/guides/measuring-blood-pressure","/health/hypertension","백의·가면 고혈압과 진단 과정을 이해하기","content"
"/health/guides/measuring-blood-pressure","/health/tools/blood-pressure-questions","기록 차이와 다음 측정 계획을 물을 진료 질문지","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","NIH/NHLBI","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","CDC","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","NHS","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","American Heart Association","content"
"/health/guides/measuring-blood-pressure","/health/trust/sources-policy","출처 선정 기준","content"
"/health/guides/measuring-blood-pressure","/health/trust/editorial-policy","편집 원칙","content"
"/health/guides/measuring-blood-pressure","/health/trust/corrections-policy","오류 제보·정정 절차","content"
"/health/guides/measuring-blood-pressure","/health","건강 가이드 전체 보기","content"
"/health/guides/measuring-blood-pressure","/health","20개 질환 안내","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/measuring-blood-pressure","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/measuring-blood-pressure","/health","건강 기록 도구","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/author","작성자","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/advertising","광고 정책","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/privacy","개인정보","navigation"
"/health/guides/measuring-blood-pressure","/health/trust/terms","이용약관","navigation"
"/health/guides/medication-list","/health/guides/medication-list","본문으로 건너뛰기","content"
"/health/guides/medication-list","/","OONURIM오누림","navigation"
"/health/guides/medication-list","/health","질환 알아보기","navigation"
"/health/guides/medication-list","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/medication-list","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/medication-list","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/medication-list","/health","건강 도구","navigation"
"/health/guides/medication-list","/health/trust/about","오누림 소개","navigation"
"/health/guides/medication-list","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/guides/medication-list","/health/trust/medical-review-policy","면허 의료인 검수 미완료","navigation"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/family-medication-support","가족이 돕는 범위와 약 관련 어려움을 함께 확인","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/appointment-questions","약 사용법·주의점·다음 확인을 물을 질문","content"
"/health/guides/medication-list","/health/guides/reading-health-results","검사 준비와 결과 설명 때 약 정보를 알릴 이유","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/older-parent-health-organizer","부모님과 합의한 정보의 위치·공유·갱신 방법","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/danger-signals","목록 정리보다 즉시 도움이 필요한 다른 위험 신호","content"
"/health/guides/medication-list","/health/guides/medication-list","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","U.S. FDA","content"
"/health/guides/medication-list","/health/guides/medication-list","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/medication-list","/health/trust/sources-policy","출처 선정 기준","content"
"/health/guides/medication-list","/health/trust/editorial-policy","편집 원칙","content"
"/health/guides/medication-list","/health/trust/corrections-policy","오류 제보·정정 절차","content"
"/health/guides/medication-list","/health","건강 가이드 전체 보기","content"
"/health/guides/medication-list","/health","20개 질환 안내","navigation"
"/health/guides/medication-list","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/medication-list","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/medication-list","/health","건강 기록 도구","navigation"
"/health/guides/medication-list","/health/trust/author","작성자","navigation"
"/health/guides/medication-list","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/medication-list","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/medication-list","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/medication-list","/health/trust/advertising","광고 정책","navigation"
"/health/guides/medication-list","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/medication-list","/health/trust/privacy","개인정보","navigation"
"/health/guides/medication-list","/health/trust/terms","이용약관","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","본문으로 건너뛰기","content"
"/health/guides/older-parent-health-organizer","/","OONURIM오누림","navigation"
"/health/guides/older-parent-health-organizer","/health","질환 알아보기","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/older-parent-health-organizer","/health","건강 도구","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/about","오누림 소개","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/medical-review-policy","면허 의료인 검수 미완료","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NHS","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/medication-list","약 이름·함량·사용법의 상세 목록을 만드는 방법","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/reading-health-results","검사 숫자·참고범위를 확진과 혼동하지 않고 읽기","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/appointment-questions","진료에서 다음 일정·결과·문의처를 확인할 질문","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/family-medication-support","동의한 범위에서 약 혼동·잊음·삼킴 어려움을 돕기","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NHS","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA / Office of Women's Health","content"
"/health/guides/older-parent-health-organizer","/health/guides/danger-signals","건강정보 정리보다 즉시 도움받아야 할 위험 신호","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA / Office of Women's Health","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NHS","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","NIH/NLM MedlinePlus","content"
"/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","U.S. FDA","content"
"/health/guides/older-parent-health-organizer","/health/trust/sources-policy","출처 선정 기준","content"
"/health/guides/older-parent-health-organizer","/health/trust/editorial-policy","편집 원칙","content"
"/health/guides/older-parent-health-organizer","/health/trust/corrections-policy","오류 제보·정정 절차","content"
"/health/guides/older-parent-health-organizer","/health","건강 가이드 전체 보기","content"
"/health/guides/older-parent-health-organizer","/health","20개 질환 안내","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/older-parent-health-organizer","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/older-parent-health-organizer","/health","건강 기록 도구","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/author","작성자","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/advertising","광고 정책","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/privacy","개인정보","navigation"
"/health/guides/older-parent-health-organizer","/health/trust/terms","이용약관","navigation"
"/health/guides/reading-health-results","/health/guides/reading-health-results","본문으로 건너뛰기","content"
"/health/guides/reading-health-results","/","OONURIM오누림","navigation"
"/health/guides/reading-health-results","/health","질환 알아보기","navigation"
"/health/guides/reading-health-results","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/reading-health-results","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/reading-health-results","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/reading-health-results","/health","건강 도구","navigation"
"/health/guides/reading-health-results","/health/trust/about","오누림 소개","navigation"
"/health/guides/reading-health-results","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/guides/reading-health-results","/health/trust/medical-review-policy","면허 의료인 검수 미완료","navigation"
"/health/guides/reading-health-results","/health/guides/understanding-hba1c","HbA1c·당화혈색소와 혈당의 이름·단위를 구분하기","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NHS","content"
"/health/guides/reading-health-results","/health/dyslipidemia","콜레스테롤 결과는 개인 위험과 함께 보는 이유","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NHS","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NHS","content"
"/health/guides/reading-health-results","/health/guides/medication-list","검사 전 알릴 약·비타민·보충제 목록 정리","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/appointment-questions","다음 진료·검사·악화 시 행동을 묻는 질문","content"
"/health/guides/reading-health-results","/health/guides/danger-signals","검사표 해석보다 도움 요청이 먼저인 위험 신호","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NHS","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","서울아산병원 건강증진센터","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NHS","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NHS","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/guides/reading-health-results","NIH/NLM MedlinePlus","content"
"/health/guides/reading-health-results","/health/trust/sources-policy","출처 선정 기준","content"
"/health/guides/reading-health-results","/health/trust/editorial-policy","편집 원칙","content"
"/health/guides/reading-health-results","/health/trust/corrections-policy","오류 제보·정정 절차","content"
"/health/guides/reading-health-results","/health","건강 가이드 전체 보기","content"
"/health/guides/reading-health-results","/health","20개 질환 안내","navigation"
"/health/guides/reading-health-results","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/reading-health-results","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/reading-health-results","/health","건강 기록 도구","navigation"
"/health/guides/reading-health-results","/health/trust/author","작성자","navigation"
"/health/guides/reading-health-results","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/reading-health-results","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/reading-health-results","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/reading-health-results","/health/trust/advertising","광고 정책","navigation"
"/health/guides/reading-health-results","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/reading-health-results","/health/trust/privacy","개인정보","navigation"
"/health/guides/reading-health-results","/health/trust/terms","이용약관","navigation"
"/health/guides/symptom-journal","/health/guides/symptom-journal","본문으로 건너뛰기","content"
"/health/guides/symptom-journal","/","OONURIM오누림","navigation"
"/health/guides/symptom-journal","/health","질환 알아보기","navigation"
"/health/guides/symptom-journal","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/symptom-journal","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/symptom-journal","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/symptom-journal","/health","건강 도구","navigation"
"/health/guides/symptom-journal","/health/trust/about","오누림 소개","navigation"
"/health/guides/symptom-journal","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/guides/symptom-journal","/health/trust/medical-review-policy","면허 의료인 검수 미완료","navigation"
"/health/guides/symptom-journal","/health/guides/danger-signals","기록보다 도움 요청이 먼저인 다른 위험 신호","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","CDC","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","St George’s University Hospitals NHS Foundation Trust","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NHLBI","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/symptom-journal","/health/migraine","편두통 진료에서 증상의 흐름을 보는 이유","content"
"/health/guides/symptom-journal","/health/sleep-apnea","잠과 낮의 변화, 수면검사가 하는 역할","content"
"/health/guides/symptom-journal","/health/guides/medication-list","실제 사용한 약·보충제 정보를 함께 준비","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","St George’s University Hospitals NHS Foundation Trust","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NHLBI","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","U.S. FDA","content"
"/health/guides/symptom-journal","/health/guides/appointment-questions","진료 뒤 기록할 항목과 다음 연락 방법을 묻기","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","St George’s University Hospitals NHS Foundation Trust","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","U.S. FDA","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","MedlinePlus Medical Encyclopedia / A.D.A.M.","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","CDC","content"
"/health/guides/symptom-journal","/health/guides/symptom-journal","NIH/NLM MedlinePlus","content"
"/health/guides/symptom-journal","/health/trust/sources-policy","출처 선정 기준","content"
"/health/guides/symptom-journal","/health/trust/editorial-policy","편집 원칙","content"
"/health/guides/symptom-journal","/health/trust/corrections-policy","오류 제보·정정 절차","content"
"/health/guides/symptom-journal","/health","건강 가이드 전체 보기","content"
"/health/guides/symptom-journal","/health","20개 질환 안내","navigation"
"/health/guides/symptom-journal","/health/guides/danger-signals","위험 신호","navigation"
"/health/guides/symptom-journal","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health/guides/symptom-journal","/health","건강 기록 도구","navigation"
"/health/guides/symptom-journal","/health/trust/author","작성자","navigation"
"/health/guides/symptom-journal","/health/trust/sources-policy","출처 원칙","navigation"
"/health/guides/symptom-journal","/health/trust/corrections-policy","정정·문의","navigation"
"/health/guides/symptom-journal","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/health/guides/symptom-journal","/health/trust/advertising","광고 정책","navigation"
"/health/guides/symptom-journal","/health/trust/disclaimer","면책 안내","navigation"
"/health/guides/symptom-journal","/health/trust/privacy","개인정보","navigation"
"/health/guides/symptom-journal","/health/trust/terms","이용약관","navigation"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","본문으로 건너뛰기","content"
"/health/guides/understanding-hba1c","/","OONURIM오누림","navigation"
"/health/guides/understanding-hba1c","/health","질환 알아보기","navigation"
"/health/guides/understanding-hba1c","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health/guides/understanding-hba1c","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health/guides/understanding-hba1c","/health/guides/family-medication-support","가족 건강","navigation"
"/health/guides/understanding-hba1c","/health","건강 도구","navigation"
"/health/guides/understanding-hba1c","/health/trust/about","오누림 소개","navigation"
"/health/guides/understanding-hba1c","/health/trust/author","박영훈 · 비의료인 건강정보 편집자","navigation"
"/health/guides/understanding-hba1c","/health/trust/medical-review-policy","면허 의료인 검수 미완료","navigation"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","서울아산병원 당뇨병센터","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NIH/NIDDK","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NGSP","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NIH/NIDDK","content"
"/health/guides/understanding-hba1c","/health/guides/reading-health-results","검사명·참고범위·추적 계획을 결과지에서 찾는 법","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NGSP","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NIH/NIDDK","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NIH/NIDDK","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NGSP","content"
"/health/guides/understanding-hba1c","/health/tools/diabetes-questions","제2형 당뇨병 진료 질문지 인쇄하기","content"
"/health/guides/understanding-hba1c","/health/type-2-diabetes","제2형 당뇨병의 증상·검사·기록을 함께 이해하기","content"
"/health/guides/understanding-hba1c","/health/guides/danger-signals","온라인 설명보다 도움 요청이 먼저인 위험 신호","content"
"/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","NIH/NIDDK","content"
